bundle	deleted	entity_id	revision_id	langcode	delta	field_event_date_value
event	0	11429	11429	und	0	1921-05-24
event	0	11430	11430	und	0	1921-06-30
event	0	11431	161188	und	0	1921-07-01
event	0	11432	161880	und	0	1921-07-29
event	0	11434	11434	und	0	1921-09-10
event	0	11436	11436	und	0	1922-01-01
event	0	11437	11437	und	0	1922-01-09
event	0	11438	11438	und	0	1922-02-28
event	0	11439	11439	und	0	1922-03-01
event	0	11440	11440	und	0	1922-03-10
event	0	11441	159092	und	0	1922-03-15
event	0	11442	11442	und	0	1922-03-15
event	0	11443	11443	und	0	1922-03-18
event	0	11445	161706	und	0	1922-07-20
event	0	11446	162228	und	0	1922-08-09
event	0	11447	11447	und	0	1922-09-07
event	0	11448	11448	und	0	1922-10-04
event	0	11449	11449	und	0	1922-10-22
event	0	11450	11450	und	0	1922-10-27
event	0	11451	164308	und	0	1922-11-08
event	0	11452	11452	und	0	1922-11-14
event	0	11453	11453	und	0	1922-11-29
event	0	11454	11454	und	0	1922-12-02
event	0	11455	11455	und	0	1923-03-02
event	0	11456	11456	und	0	1923-06-13
event	0	11457	11457	und	0	1923-06-14
event	0	11458	11458	und	0	1923-08-28
event	0	11459	169761	und	0	1923-11-20
event	0	11460	11460	und	0	1923-12-18
event	0	11461	157497	und	0	1923-12-24
event	0	11462	11462	und	0	1924-03-28
event	0	11463	11463	und	0	1924-04-15
event	0	11464	11464	und	0	1924-06-17
event	0	11465	11465	und	0	1924-08-04
event	0	11466	11466	und	0	1924-08-16
event	0	11467	157310	und	0	1924-12-23
event	0	11468	11468	und	0	1925-04-14
event	0	11469	159931	und	0	1925-05-04
event	0	11470	11470	und	0	1988-05-02
event	0	11471	11471	und	0	1925-05-05
event	0	11472	11472	und	0	1925-05-08
event	0	11474	11474	und	0	1925-07-23
event	0	11476	11476	und	0	1925-08-22
event	0	11477	158932	und	0	1926-03-10
event	0	11478	167454	und	0	1926-05-23
event	0	11479	11479	und	0	1926-07-18
event	0	11480	11480	und	0	1926-08-02
event	0	11481	11481	und	0	1926-09-30
event	0	11482	156415	und	0	1926-10-10
event	0	11483	169409	und	0	1926-10-15
event	0	11484	11484	und	0	1926-11-15
event	0	11485	169759	und	0	1926-11-19
event	0	11486	11486	und	0	1927-06-10
event	0	11487	11487	und	0	1927-06-25
event	0	11488	11488	und	0	1927-08-13
event	0	11489	162388	und	0	1927-08-21
event	0	11490	11490	und	0	1927-09-22
event	0	11491	11491	und	0	1927-11-09
event	0	11493	11493	und	0	1928-05-04
event	0	11494	11494	und	0	1928-08-02
event	0	11495	165556	und	0	1928-12-06
event	0	11496	11496	und	0	1929-01-15
event	0	11497	11497	und	0	1929-06-10
event	0	11498	11498	und	0	1929-06-14
event	0	11499	11499	und	0	1929-08-26
event	0	11500	11500	und	0	1929-09-02
event	0	11501	175990	und	0	1929-10-04
event	0	11502	11502	und	0	1929-10-29
event	0	11503	11503	und	0	1929-11-06
event	0	11504	11504	und	0	1929-11-27
event	0	11506	165621	und	0	1929-12-09
event	0	11507	11507	und	0	1929-12-17
event	0	11508	11508	und	0	1930-01-25
event	0	11509	11509	und	0	1930-02-12
event	0	11510	11510	und	0	1930-02-25
event	0	11511	159289	und	0	1930-04-03
event	0	11512	11512	und	0	1930-04-30
event	0	11513	11513	und	0	1930-05-19
event	0	11514	164129	und	0	1930-11-02
event	0	11515	164404	und	0	1930-11-12
event	0	11517	11517	und	0	1930-11-19
event	0	11519	11519	und	0	1931-04-19
event	0	11520	169321	und	0	1931-10-07
event	0	11521	163398	und	0	1931-10-14
event	0	11522	11522	und	0	1931-11-15
event	0	11523	11523	und	0	1932-03-22
event	0	11524	167121	und	0	1932-04-27
event	0	11525	11525	und	0	1932-06-18
event	0	11527	180291	und	0	1932-07-15
event	0	11528	11528	und	0	1932-08-18
event	0	11529	11529	und	0	1932-11-18
event	0	11530	157312	und	0	1932-12-23
event	0	11531	11531	und	0	1932-12-27
event	0	11532	11532	und	0	1906-12-24
event	0	11533	11533	und	0	1933-01-14
event	0	11534	11534	und	0	1933-02-14
event	0	11535	11535	und	0	1933-03-29
event	0	11536	11536	und	0	1933-08-23
event	0	11537	165694	und	0	1933-12-15
event	0	11538	11538	und	0	1934-04-10
event	0	11539	11539	und	0	1934-05-08
event	0	11540	161511	und	0	1934-07-13
event	0	11541	172958	und	0	1936-09-26
event	0	11542	11542	und	0	1934-10-02
event	0	11543	163314	und	0	1934-10-08
event	0	11544	11544	und	0	1934-11-09
event	0	11546	11546	und	0	1934-12-05
event	0	11547	157313	und	0	1935-02-01
event	0	11551	171453	und	0	1935-04-13
event	0	11552	11552	und	0	1935-04-22
event	0	11554	11554	und	0	1935-06-02
event	0	11555	11555	und	0	1935-09-29
event	0	11556	11556	und	0	1935-10-03
